horizon,variables,num_vars,r2_os_1pt,r2_os_2pt,delta_1pt_minus_2pt,winner
1d,Mean + Median + VIX + T-4 Return,4,-0.031776724999759365,-0.03179001157001404,1.3286570254678054e-05,1pt
1d,Skewness + Kurtosis + T-1 Return + T-3 Return,4,-0.011911241039156861,-0.011923760454123356,1.2519414966494224e-05,1pt
1d,Skewness + VIX + T-1 Return + T-3 Return,4,-0.00544354302325778,-0.005455680573647648,1.2137550389867968e-05,1pt
1d,Mean + Median + T-4 Return,3,-0.03126132059099418,-0.03127329088538189,1.1970294387708691e-05,1pt
1d,Mean + Median + T-3 Return + T-4 Return,4,-0.03280477896463729,-0.03281673724689482,1.1958282257529262e-05,1pt
1d,Mean + Median + T-1 Return + T-2 Return,4,-0.03305630141625904,-0.03306808053391519,1.1779117656152138e-05,1pt
1d,Mean + Kurtosis + T-3 Return,3,-0.030373551659647724,-0.03038474021465798,1.1188555010255286e-05,1pt
1d,Skewness + Median + T-2 Return,3,-0.030934261467263635,-0.03094496758789078,1.0706120627146376e-05,1pt
1d,Skewness + Median + T-1 Return,3,-0.02451593835667487,-0.024526625972970395,1.0687616295523839e-05,1pt
1d,Mean + Median + Fear and Greed Index,3,-0.03578880779711002,-0.03579941713347434,1.0609336364320043e-05,1pt
1d,Mean + Median + Fear and Greed Index + VIX,4,-0.03460582756910924,-0.034616337225743754,1.0509656634516418e-05,1pt
1d,Skewness + Median + T-1 Return + T-4 Return,4,-0.028512570536778803,-0.028522981673882786,1.0411137103982782e-05,1pt
1d,Skewness + Fear and Greed Index + T-2 Return + T-3 Return,4,-0.015607945428942616,-0.01561822245147848,1.0277022535865044e-05,1pt
1d,Mean + Kurtosis + Median + T-1 Return,4,-0.03392931420657308,-0.03393938202883562,1.0067822262538328e-05,1pt
1d,Mean + Skewness + Median + T-3 Return,4,-0.03244512859392357,-0.03245508866480318,9.960070879611038e-06,1pt
1d,Mean + Median + Fear and Greed Index + T-4 Return,4,-0.039322767118809,-0.0393323643859218,9.597267112804175e-06,1pt
1d,Mean + Median + VIX + T-1 Return,4,-0.02914694809003948,-0.0291565277145025,9.579624463018632e-06,1pt
1d,Mean + Std + Fear and Greed Index + T-1 Return,4,-0.0495931121703419,-0.049602655504255244,9.543333913342167e-06,1pt
1d,Mean + Fear and Greed Index + T-2 Return + T-3 Return,4,-0.03368355958737035,-0.0336930942160798,9.534628709451098e-06,1pt
1d,Mean + VIX + T-2 Return + T-3 Return,4,-0.029524469096682493,-0.029533885403757454,9.416307074960883e-06,1pt
1d,Skewness + Median + T-2 Return + T-4 Return,4,-0.0347647132027995,-0.03477389719424573,9.183991446226614e-06,1pt
1d,Mean + Fear and Greed Index + T-3 Return,3,-0.028128300172238108,-0.02813747337977035,9.1732075322426e-06,1pt
1d,Skewness + Median + VIX + T-1 Return,4,-0.024871551474398235,-0.02488061394800334,9.062473605103705e-06,1pt
1d,Mean + Fear and Greed Index + T-3 Return + T-4 Return,4,-0.032524806175682874,-0.0325338483931894,9.04221750652745e-06,1pt
