model_id,variables,num_variables,n_obs,rsquared,adj_rsquared,aic,bic,core_factors,core_factor_min_pvalue,pass_pvalue_screen
model_0677,Skewness + Kurtosis + Mean + Median + T-2 Return + T-4 Return,6,1196,0.03757736077114071,0.03272072844534335,-4959.871596944827,-4924.264431403252,Skewness + Kurtosis,9.184374993225764e-07,True
model_0567,Skewness + Kurtosis + Mean + Median + VIX,5,1196,0.035632100659075516,0.03158013469545817,-4959.456667207621,-4928.936239600557,Skewness + Kurtosis,9.743392071653706e-07,True
model_0672,Skewness + Kurtosis + Mean + Median + VIX + T-4 Return,6,1196,0.03615819228584105,0.03129439847063087,-4958.109299127192,-4922.502133585617,Skewness + Kurtosis,1.0115424746641984e-06,True
model_0670,Skewness + Kurtosis + Mean + Median + VIX + T-2 Return,6,1196,0.038228650717260115,0.033375304968146335,-4960.681227169177,-4925.0740616276025,Skewness + Kurtosis,1.0227280781060104e-06,True
model_0523,Skewness + Kurtosis + Mean + Std,4,1196,0.028619523879522824,0.02535712093705267,-4952.791203633197,-4927.357513960645,Skewness + Kurtosis,2.465485419755584e-06,True
model_0513,Skewness + Kurtosis,2,1196,0.027649819648082552,0.02601972714120593,-4955.597863030004,-4940.337649226472,Skewness + Kurtosis,2.471872390847215e-06,True
model_0563,Skewness + Kurtosis + Mean + Std + T-2 Return,5,1196,0.03147477431298906,0.027405340591615035,-4954.311871654515,-4923.7914440474515,Skewness + Kurtosis,2.5234673027000615e-06,True
model_0520,Skewness + Kurtosis + T-2 Return,3,1196,0.030492458201962447,0.02805242244240369,-4957.099456478559,-4936.752504740516,Skewness + Kurtosis,2.5361662870281174e-06,True
model_0565,Skewness + Kurtosis + Mean + Std + T-4 Return,5,1196,0.029126325557169985,0.025047024404048823,-4951.415359663496,-4920.8949320564325,Skewness + Kurtosis,2.5707037935684924e-06,True
model_0522,Skewness + Kurtosis + T-4 Return,3,1196,0.028142814167466557,0.025696864874263925,-4954.204404768377,-4933.857453030334,Skewness + Kurtosis,2.599161568071745e-06,True
model_0662,Skewness + Kurtosis + Mean + Std + T-2 Return + T-4 Return,6,1196,0.03202870106345668,0.027144068772776087,-4952.996093292099,-4917.388927750525,Skewness + Kurtosis,2.635199227894631e-06,True
model_0557,Skewness + Kurtosis + T-2 Return + T-4 Return,4,1196,0.03103175824904425,0.027777456849376825,-4955.764930742852,-4930.331241070299,Skewness + Kurtosis,2.671920592240614e-06,True
model_0561,Skewness + Kurtosis + Mean + Std + VIX,5,1196,0.03000230288908534,0.025926682312989113,-4952.494945848816,-4921.974518241753,Skewness + Kurtosis,2.8246750747168192e-06,True
